,Day,Time,Sensor_ID,Hourly_Counts,lat,lon
0,Friday,0,1,282.0,-37.813494399999996,144.96515324
1,Friday,0,2,292.0,-37.81380667,144.96516719
2,Friday,0,3,518.0,-37.81101523,144.96429485
3,Friday,0,4,614.0,-37.81487988,144.9660878
4,Friday,0,5,345.0,-37.81874249,144.96787656
5,Friday,0,6,401.0,-37.81911704,144.96558256
6,Friday,0,7,55.0,-37.81862929,144.97169395
7,Friday,0,8,28.0,-37.82293543,144.94717511
8,Friday,0,9,97.0,-37.81982992,144.95102556
9,Friday,0,10,64.0,-37.81876473,144.94710545
10,Friday,0,11,24.0,-37.81564989,144.93970695
11,Friday,0,12,50.0,-37.81457987,144.94292398
12,Friday,0,13,210.0,-37.81239679,144.95652653
13,Friday,0,14,139.0,-37.82011242,144.96291898
14,Friday,0,15,255.0,-37.81064378,144.96447132
15,Friday,0,16,293.0,-37.81573423,144.96521044
16,Friday,0,17,152.0,-37.81362542,144.97323592
17,Friday,0,18,105.0,-37.81344861,144.97305354
18,Friday,0,19,188.0,-37.81237202,144.96550671
19,Friday,0,20,243.0,-37.81172913,144.96824660000001
20,Friday,0,21,328.0,-37.81244703,144.96778757
21,Friday,0,22,331.0,-37.81786445,144.96506823
22,Friday,0,23,52.0,-37.81909256,144.95452749
23,Friday,0,24,142.0,-37.81887962,144.95449198
24,Friday,0,25,77.0,-37.82401776,144.95604426
25,Friday,0,26,141.0,-37.80869542,144.96049404
26,Friday,0,27,26.0,-37.80606888,144.95644693
27,Friday,0,28,106.0,-37.82129924,144.96879309
28,Friday,0,29,56.0,-37.81965808,144.96863453
29,Friday,0,30,259.0,-37.81121849,144.96656807
30,Friday,0,31,94.0,-37.8016968,144.96658911
31,Friday,0,32,234.0,-37.81573742,144.96685718
32,Friday,0,33,19.0,-37.81483252,144.97454056
33,Friday,0,34,32.0,-37.81537985,144.97415049999998
34,Friday,0,35,333.0,-37.82017828,144.96508877
35,Friday,0,36,77.0,-37.81652527,144.96121063
36,Friday,0,37,23.0,-37.80310271,144.96671452
37,Friday,0,38,762.0,-37.81723437,144.96715033
38,Friday,0,39,25.0,-37.81379749,144.96995745
39,Friday,0,40,37.0,-37.80999341,144.97227588
40,Friday,0,41,447.0,-37.81668633,144.96689733
41,Friday,0,42,39.0,-37.80008565,144.96386412
42,Friday,0,43,24.0,-37.79844525,144.96411782
43,Friday,0,44,18.0,-37.79690473,144.96440378
44,Friday,0,45,173.0,-37.81414074,144.9660938
45,Friday,0,46,13.0,-37.80240719,144.96156731
46,Friday,0,47,202.0,-37.81160331,144.96220077
47,Friday,0,48,36.0,-37.80631581,144.95866698
48,Friday,0,49,68.0,-37.80730067,144.95956055
49,Friday,0,50,57.0,-37.79808191,144.96721014
50,Friday,0,51,30.0,-37.80841814,144.95906317
51,Friday,0,52,102.0,-37.81252157,144.9619401
52,Friday,0,53,86.0,-37.8156419,144.965499
53,Friday,0,54,31.0,-37.804024,144.963084
54,Friday,0,55,197.0,-37.81006172,144.96142335
55,Friday,0,56,52.0,-37.81234775,144.96153311
56,Friday,0,57,43.0,-37.8176735,144.95025595
57,Friday,0,58,127.0,-37.81686074,144.95358075
58,Friday,0,59,91.0,-37.80825648,144.96304859
59,Friday,0,60,301.0,-37.81668188,144.96689540000003
60,Friday,0,61,51.0,-37.80767455,144.96309115
61,Friday,1,1,63.0,-37.813494399999996,144.96515324
62,Friday,1,2,55.0,-37.81380667,144.96516719
63,Friday,1,3,202.0,-37.81101523,144.96429485
