Day,Time,Sensor_ID,Hourly_Counts
Friday,00:00:00,1,282.0
Friday,00:00:00,2,292.0
Friday,00:00:00,3,518.0
Friday,00:00:00,4,614.0
Friday,00:00:00,5,345.0
Friday,00:00:00,6,401.0
Friday,00:00:00,7,55.0
Friday,00:00:00,8,28.0
Friday,00:00:00,9,97.0
Friday,00:00:00,10,64.0
Friday,00:00:00,11,24.0
Friday,00:00:00,12,50.0
Friday,00:00:00,13,210.0
Friday,00:00:00,14,139.0
Friday,00:00:00,15,255.0
Friday,00:00:00,16,293.0
Friday,00:00:00,17,152.0
Friday,00:00:00,18,105.0
Friday,00:00:00,19,188.0
Friday,00:00:00,20,243.0
Friday,00:00:00,21,328.0
Friday,00:00:00,22,331.0
Friday,00:00:00,23,52.0
Friday,00:00:00,24,142.0
Friday,00:00:00,25,77.0
Friday,00:00:00,26,141.0
Friday,00:00:00,27,26.0
Friday,00:00:00,28,106.0
Friday,00:00:00,29,56.0
Friday,00:00:00,30,259.0
Friday,00:00:00,31,94.0
Friday,00:00:00,32,234.0
Friday,00:00:00,33,19.0
Friday,00:00:00,34,32.0
Friday,00:00:00,35,333.0
Friday,00:00:00,36,77.0
Friday,00:00:00,37,23.0
Friday,00:00:00,38,762.0
Friday,00:00:00,39,25.0
Friday,00:00:00,40,37.0
Friday,00:00:00,41,447.0
Friday,00:00:00,42,39.0
Friday,00:00:00,43,24.0
Friday,00:00:00,44,18.0
Friday,00:00:00,45,173.0
Friday,00:00:00,46,13.0
Friday,00:00:00,47,202.0
Friday,00:00:00,48,36.0
Friday,00:00:00,49,68.0
Friday,00:00:00,50,57.0
Friday,00:00:00,51,30.0
Friday,00:00:00,52,102.0
Friday,00:00:00,53,86.0
Friday,00:00:00,54,31.0
Friday,00:00:00,55,197.0
Friday,00:00:00,56,52.0
Friday,00:00:00,57,43.0
Friday,00:00:00,58,127.0
Friday,00:00:00,59,91.0
Friday,00:00:00,60,301.0
Friday,00:00:00,61,51.0
Friday,01:00:00,1,63.0
Friday,01:00:00,2,55.0
Friday,01:00:00,3,202.0
Friday,01:00:00,4,199.0
Friday,01:00:00,5,102.0
Friday,01:00:00,6,104.0
Friday,01:00:00,7,25.0
Friday,01:00:00,8,5.0
Friday,01:00:00,9,10.0
Friday,01:00:00,10,8.0
Friday,01:00:00,11,7.0
Friday,01:00:00,12,14.0
Friday,01:00:00,13,17.0
Friday,01:00:00,14,38.0
Friday,01:00:00,15,82.0
Friday,01:00:00,16,32.0
Friday,01:00:00,17,25.0
Friday,01:00:00,18,12.0
Friday,01:00:00,19,117.0
Friday,01:00:00,20,116.0
Friday,01:00:00,21,244.0
Friday,01:00:00,22,166.0
Friday,01:00:00,23,27.0
Friday,01:00:00,24,51.0
Friday,01:00:00,25,55.0
Friday,01:00:00,26,105.0
Friday,01:00:00,27,16.0
Friday,01:00:00,28,54.0
Friday,01:00:00,29,35.0
Friday,01:00:00,30,192.0
Friday,01:00:00,31,43.0
Friday,01:00:00,32,122.0
Friday,01:00:00,33,8.0
Friday,01:00:00,34,16.0
Friday,01:00:00,35,173.0
Friday,01:00:00,36,53.0
Friday,01:00:00,37,14.0
Friday,01:00:00,38,390.0
Friday,01:00:00,39,12.0
Friday,01:00:00,40,17.0
Friday,01:00:00,41,227.0
Friday,01:00:00,42,28.0
Friday,01:00:00,43,13.0
Friday,01:00:00,44,10.0
Friday,01:00:00,45,99.0
Friday,01:00:00,46,5.0
Friday,01:00:00,47,129.0
Friday,01:00:00,48,21.0
Friday,01:00:00,49,51.0
Friday,01:00:00,50,28.0
Friday,01:00:00,51,20.0
Friday,01:00:00,52,58.0
Friday,01:00:00,53,49.0
Friday,01:00:00,54,21.0
Friday,01:00:00,55,97.0
Friday,01:00:00,56,30.0
Friday,01:00:00,57,20.0
Friday,01:00:00,58,67.0
Friday,01:00:00,59,58.0
Friday,01:00:00,60,171.0
Friday,01:00:00,61,32.0
Friday,02:00:00,1,42.0
Friday,02:00:00,2,36.0
Friday,02:00:00,3,126.0
Friday,02:00:00,4,120.0
Friday,02:00:00,5,59.0
Friday,02:00:00,6,66.0
Friday,02:00:00,7,14.0
Friday,02:00:00,8,3.0
Friday,02:00:00,9,6.0
Friday,02:00:00,10,5.0
Friday,02:00:00,11,4.0
Friday,02:00:00,12,7.0
Friday,02:00:00,13,11.0
Friday,02:00:00,14,29.0
Friday,02:00:00,15,52.0
Friday,02:00:00,16,19.0
Friday,02:00:00,17,15.0
Friday,02:00:00,18,9.0
Friday,02:00:00,19,67.0
Friday,02:00:00,20,77.0
Friday,02:00:00,21,210.0
Friday,02:00:00,22,113.0
Friday,02:00:00,23,20.0
Friday,02:00:00,24,35.0
Friday,02:00:00,25,44.0
Friday,02:00:00,26,73.0
Friday,02:00:00,27,10.0
Friday,02:00:00,28,34.0
Friday,02:00:00,29,19.0
Friday,02:00:00,30,132.0
Friday,02:00:00,31,18.0
Friday,02:00:00,32,75.0
Friday,02:00:00,33,6.0
Friday,02:00:00,34,9.0
Friday,02:00:00,35,79.0
Friday,02:00:00,36,23.0
Friday,02:00:00,37,9.0
Friday,02:00:00,38,282.0
Friday,02:00:00,39,8.0
Friday,02:00:00,40,9.0
Friday,02:00:00,41,151.0
Friday,02:00:00,42,17.0
Friday,02:00:00,43,6.0
Friday,02:00:00,44,5.0
Friday,02:00:00,45,59.0
Friday,02:00:00,46,2.0
Friday,02:00:00,47,83.0
Friday,02:00:00,48,15.0
Friday,02:00:00,49,37.0
Friday,02:00:00,50,11.0
Friday,02:00:00,51,15.0
Friday,02:00:00,52,38.0
Friday,02:00:00,53,31.0
Friday,02:00:00,54,11.0
Friday,02:00:00,55,79.0
Friday,02:00:00,56,20.0
Friday,02:00:00,57,13.0
Friday,02:00:00,58,50.0
Friday,02:00:00,59,44.0
Friday,02:00:00,60,107.0
Friday,02:00:00,61,20.0
Friday,03:00:00,1,35.0
Friday,03:00:00,2,32.0
Friday,03:00:00,3,101.0
Friday,03:00:00,4,89.0
Friday,03:00:00,5,54.0
Friday,03:00:00,6,49.0
Friday,03:00:00,7,12.0
Friday,03:00:00,8,2.0
Friday,03:00:00,9,5.0
Friday,03:00:00,10,5.0
Friday,03:00:00,11,3.0
Friday,03:00:00,12,6.0
Friday,03:00:00,13,9.0
Friday,03:00:00,14,23.0
Friday,03:00:00,15,32.0
Friday,03:00:00,16,14.0
Friday,03:00:00,17,12.0
Friday,03:00:00,18,6.0
Friday,03:00:00,19,44.0
Friday,03:00:00,20,67.0
Friday,03:00:00,21,178.0
Friday,03:00:00,22,95.0
Friday,03:00:00,23,17.0
Friday,03:00:00,24,26.0
Friday,03:00:00,25,28.0
Friday,03:00:00,26,53.0
Friday,03:00:00,27,7.0
Friday,03:00:00,28,43.0
Friday,03:00:00,29,12.0
Friday,03:00:00,30,104.0
Friday,03:00:00,31,11.0
Friday,03:00:00,32,51.0
Friday,03:00:00,33,4.0
Friday,03:00:00,34,7.0
Friday,03:00:00,35,59.0
Friday,03:00:00,36,20.0
Friday,03:00:00,37,6.0
Friday,03:00:00,38,239.0
Friday,03:00:00,39,6.0
Friday,03:00:00,40,7.0
